"","iso_alpha_3_code","YR1985","YR1986","YR1987","YR1988","YR1989","YR1990","YR1991","YR1992","YR1993","YR1994","YR1995","YR1996","YR1997","YR1998","YR1999","YR2000","YR2001","YR2002","YR2003","YR2004","YR2005","YR2006","YR2007","YR2008","YR2009","YR2010","YR2011","YR2012","YR2013","YR2014","YR2015","YR2016","YR2017","YR2018","YR2019","YR2020","YR2021","YR2022","YR2023"
"15","BEL",36707.2811135075,37363.0455520863,38192.3101714635,39869.2562205919,41102.8106595945,42266.1303465547,42881.2596572635,43361.3436007909,42776.8328149211,44021.3472408234,44976.8527139074,45482.2436732757,47093.5836282491,47915.048260711,49498.9791321662,51214.3427772711,51599.7219539308,52245.7425297135,52567.513494045,54209.685249767,55164.0226862774,56200.1040928004,57840.2132826138,57641.5594979425,56024.1830249853,57104.7574081063,57321.7752272553,57388.4992516484,57380.9535901919,58028.5525792096,58871.0652854142,59315.7001438597,60044.6107556749,60843.595706036,61871.7026087319,58337.7581284065,62123.1613172906,63450.4500400983,63572.4919333446
"16","BEN",2394.03436139028,2375.1639118165,2270.97622093058,2278.8856326961,2148.02054307711,2270.72504795272,2295.30726282374,2291.86752408274,2320.03190565047,2280.11054755879,2368.71432989608,2408.46843471588,2473.55603491183,2494.5317913269,2548.65299674092,2617.20277526761,2674.97399131568,2716.40824832532,2726.5139607425,2762.408845242,2721.86182641779,2743.94728973136,2825.77326094376,2878.03947158524,2859.37720191364,2835.37685284196,2835.16623561424,2886.20105632577,3005.33207106869,3104.22267310797,3067.54054450397,3077.84294838277,3157.97632935376,3272.42968263968,3397.58398092032,3429.92686919007,3575.31148668734,3697.61143218213,3829.28494585008
"17","BFA",1096.24120314098,1150.48426359581,1116.85394705667,1150.38823988487,1144.53999007861,1108.22112728143,1178.57286951255,1152.57927816906,1163.20575992283,1149.16795988156,1184.11462289911,1281.37915951061,1327.80002043085,1386.19847358973,1445.79436204571,1429.79157517696,1478.69577752004,1496.33893903491,1563.78137869999,1583.34121442236,1667.15432034947,1716.94708729138,1734.13892358862,1781.49974260306,1781.27751349705,1875.7768605181,1941.47982030247,2005.03593859041,2058.31566496266,2084.33270056742,2102.6286729697,2163.46819844314,2232.76964140723,2315.23728568714,2386.18665814007,2369.589918944,2467.74060013055,2448.13391064405,2457.97437726277
"18","BGD",2002.27293290355,2036.74909472352,2066.92215481526,2071.54205106207,2085.52456069983,2156.4401037798,2188.79685611061,2265.83656391505,2327.68724360638,2372.30219491805,2447.67463634776,2513.91482670832,2580.2441464106,2663.38347953212,2734.88779137308,2825.30047242922,2912.89712493056,2968.87396079106,3055.74720729478,3162.87385844558,3318.83416270037,3497.6639234684,3705.39653256337,3893.50951908067,4054.10455381431,4231.41019473125,4450.3653986366,4682.00652238154,4901.06458775723,5133.75631413233,5405.38648243157,5719.07243278242,6020.26481532517,6386.31123040981,6813.40618618904,6968.14554225294,7366.48997079065,7805.15301880036,8171.51709110154
"19","BGR",13617.1038518261,14193.8210537034,15031.0595558128,16657.4338549501,16299.0173989752,15082.5878849846,13946.2553294878,13071.6488585154,12981.2958493969,13262.2576773236,13702.722024204,14490.5422132718,12521.1438294083,13082.5950428352,12051.5459785844,12666.7842875727,13415.5381617587,14514.9703348185,15396.6186843301,16523.2516011092,17822.8883379136,19180.43098179,20607.7405673439,22024.9610332472,21425.3500633744,21902.2952126543,22503.9317177065,22804.1490195012,22807.6651562892,23155.4519690677,24095.427027851,24999.4341471355,25874.2082340952,26764.0559080866,28040.7233087528,27090.7070616166,29404.9605099327,32510.040988528,33289.1140849609
"20","BHR",38457.4299051234,37544.9018010984,39994.9929433427,41309.6468843878,40050.3652680371,40447.950353221,43477.9892201511,44792.5347997183,48858.0084796375,47134.0183503886,47413.5333392473,47815.8888891681,47792.7475333005,48604.399123429,49255.2221496989,50458.1122321569,50382.5657813864,50812.5190602504,51934.5831403299,51880.6667442722,51187.3077835799,50621.5073299477,51155.7669793464,50933.254484663,49166.6679340081,49852.4892281942,50907.0915673121,52250.5049700604,53477.1356734505,53698.4744037244,53167.4741936128,53159.7509165403,53399.0932264318,53501.3298666274,54410.1698741654,52470.1216159635,54351.8360757233,56663.1812114179,57550.2932135972
"21","BHS",32932.7058313556,32873.6764089146,33217.2173611012,33353.6853867777,34921.5967947208,33705.7704124741,31666.9736258309,29816.6562312674,29265.87228959,29588.5011862839,30311.1798980705,31034.1116867966,30902.918219879,31824.2446231297,33578.8906584116,34461.6391348156,34871.7692508847,35345.7968601002,34435.9841034028,34274.1615951275,34957.724327251,35343.5979143657,35353.2695411177,34043.5922419421,32155.7378289071,32194.3444062842,31990.8283346484,32595.3396296687,31367.37577749,31661.0304606757,31686.2415045461,31121.5851118287,31748.7762223786,32349.7573267748,31701.5794964508,24792.7065247763,28510.9094889073,31424.8714469523,32047.9042744282
"22","BIH",2178.32117222397,2206.88087490125,2227.65161497431,2261.40387282351,2318.52327817807,2422.37645915799,2191.9932245151,2159.61446016217,2290.78054887518,2668.0273732352,3103.80311510373,4593.48159649878,6059.50065557826,6950.78368075405,7543.03469901731,7901.33277165716,8062.7462230906,8461.0812451256,8819.06268263017,9469.45757352455,9955.19493423194,10587.8108249165,11348.3636328689,12161.8248678711,11996.1164567471,12311.610779477,12655.3683628978,12786.2678095451,13292.2582906168,13620.6770653773,14396.824585295,15048.6571029511,15721.8416841862,16515.14036913,17191.2893321712,16885.5072006445,18396.4690929752,19395.9271348867,19860.3408046966
"23","BLR",10332.7907307802,10582.405970175,10839.7243256969,11194.1135740748,12080.0897554551,12358.9795905248,12205.0402098603,11009.1435390222,10150.0152962883,8973.06265466154,8065.98895610024,8319.80030479968,9306.8574406438,10134.1779153846,10526.0036150216,11189.1035668896,11778.0859153435,12451.3310156669,13421.9020414477,15061.0677028504,16589.7310182455,18360.782137752,20031.514171701,22151.1097873368,22250.0600651539,24037.6495034558,25389.9791176658,25858.8102274731,26128.3219558852,26564.4311264082,25513.185299818,24846.9596661141,25503.9746734388,26363.5694015715,26798.8630930108,26731.4943486494,27611.1801135156,26537.550343774,27718.367024278
"24","BLZ",5855.01399587792,5983.3306936985,6478.83160363325,6956.84093951241,7691.25513104023,8240.40547445081,9019.69652836266,9963.43815341526,10363.7846884579,10140.3435306777,9956.59868506441,9765.18741225187,9837.55115353418,9866.52539795749,10433.2261221204,11336.5607385375,11533.5375157659,11781.7057965189,12528.3645777469,12735.1171246313,12634.8275551454,12822.7771493152,12869.1825939414,12318.9050295089,11931.594762557,11781.9644783779,11481.909029666,11636.7466864636,11884.1577984908,12091.8940843178,12220.5354954948,11971.6183636655,11523.0105371211,11419.9321726544,11688.6668471641,9934.85853011665,11559.8905984688,12407.0171012924,12795.1797987738
