"iso_alpha_3_code","year","deaths_hiv"
"GUY",1988,"1"
"HTI",1988,"293"
"JAM",1988,"27"
"SUR",1988,"3"
"TTO",1988,"8"
"AGO",1988,"54"
"BWA",1988,"64"
"COM",1988,"0"
"ERI",1988,"52"
"SWZ",1988,"1"
"ETH",1988,"1308"
"KEN",1988,"1375"
"LSO",1988,"22"
"MDG",1988,"0"
"MWI",1988,"2750"
"MUS",1988,"0"
"MOZ",1988,"288"
"NAM",1988,"42"
"RWA",1988,"336"
"ZAF",1988,"679"
"SSD",1988,"104"
"UGA",1988,"8446"
"TZA",1988,"2143"
"ZMB",1988,"1559"
"ZWE",1988,"2312"
"ALB",1988,"0"
"ARM",1988,"0"
"AZE",1988,"0"
"BLR",1988,"0"
"BIH",1988,"0"
"GEO",1988,"0"
"KAZ",1988,"0"
"KGZ",1988,"0"
"MNE",1988,"0"
"MKD",1988,"0"
"MDA",1988,"0"
"RUS",1988,"0"
"TJK",1988,"0"
"TKM",1988,"0"
"UKR",1988,"1"
"UZB",1988,"10"
"ARG",1988,"13"
"BOL",1988,"5"
"BRA",1988,"0"
"CHL",1988,"0"
"COL",1988,"24"
"CRI",1988,"14"
"ECU",1988,"2"
"SLV",1988,"1"
"GTM",1988,"3"
"HND",1988,"76"
"MEX",1988,"230"
"NIC",1988,"1"
"PAN",1988,"16"
"PRY",1988,"0"
"PER",1988,"125"
"URY",1988,"4"
"VEN",1988,"238"
"DZA",1988,"3"
"BHR",1988,"0"
"DJI",1988,"0"
"EGY",1988,"0"
"IRN",1988,"8"
"JOR",1988,"0"
"KWT",1988,"0"
"LBN",1988,"1"
"LBY",1988,"0"
"MAR",1988,"22"
"OMN",1988,"0"
"QAT",1988,"0"
"SAU",1988,"1"
"SOM",1988,"6"
"SDN",1988,"3"
"SYR",1988,"0"
"TUN",1988,"1"
"ARE",1988,"0"
"YEM",1988,"11"
"IRQ",1988,"0"
"BEN",1988,"114"
"BFA",1988,"684"
"BDI",1988,"480"
"CMR",1988,"192"
"CPV",1988,"1"
"CAF",1988,"88"
"TCD",1988,"120"
"COG",1988,"172"
"CIV",1988,"945"
"COD",1988,"3463"
"GNQ",1988,"8"
"GAB",1988,"28"
"GMB",1988,"2"
"GHA",1988,"448"
"GIN",1988,"85"
"GNB",1988,"4"
"LBR",1988,"48"
"MLI",1988,"215"
"MRT",1988,"3"
"NER",1988,"21"
"NGA",1988,"1304"
"SEN",1988,"31"
"SLE",1988,"64"
"TGO",1988,"338"
"STP",1988,"1"
"AUT",1988,"0"
"BEL",1988,"0"
