"iso_alpha_3_code","UNICEF_Sub_Region_Name","UNICEF_Region_Name","UNPD_Region","UNPD_Sub_Region","UNPD_More_Developed","UNPD_Less_Developed","UNPD_Least_Developed","UNPD_Land_Locked_Developing","UNPD_Small_Island_Developing","SDG_Region","SDG_Sub_Region","World_Bank_Region","World_Bank_Income","UNFPA_Region","WHO_Region"
"BOL","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,"Land Locked Developing",NA,"Latin America and the Caribbean","South America","Latin America & Caribbean","Lower middle income","Latin American and Caribbean","Americas"
"BRA","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","South America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"BRB","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Caribbean",NA,"Less Developed",NA,NA,"Small Island Developing States","Latin America and the Caribbean","Caribbean","Latin America & Caribbean","High income","Latin American and Caribbean","Americas"
"BRN","East Asia and Pacific","East Asia and Pacific","Asia","South-Eastern Asia",NA,"Less Developed",NA,NA,NA,"Eastern and South-Eastern Asia","South-Eastern Asia","East Asia & Pacific","High income","non-UNFPA","Western Pacific"
"BTN","South Asia","South Asia","Asia","Southern Asia",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Central and Southern Asia","Southern Asia","South Asia","Lower middle income","Asia and the Pacific","South-East Asia"
"BWA","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Southern Africa",NA,"Less Developed",NA,"Land Locked Developing",NA,"Sub-Saharan Africa","Southern Africa","Sub-Saharan Africa","Upper middle income","East and Southern Africa","Africa"
"CAF","West and Central Africa","Sub-Saharan Africa","Africa","Middle Africa",NA,"Less Developed","Least Developed","Land Locked Developing",NA,"Sub-Saharan Africa","Middle Africa","Sub-Saharan Africa","Low income","West and Central Africa","Africa"
"CAN","North America","North America","Northern America",NA,"More Developed",NA,NA,NA,NA,"Europe and Northern America",NA,"North America","High income","non-UNFPA","Americas"
"CHE","Western Europe","Europe and Central Asia","Europe","Western Europe","More Developed",NA,NA,NA,NA,"Europe and Northern America","Western Europe","Europe & Central Asia","High income","non-UNFPA","Europe"
"CHL","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","South America","Latin America & Caribbean","High income","Latin American and Caribbean","Americas"
"CHN","East Asia and Pacific","East Asia and Pacific","Asia","Eastern Asia",NA,"Less Developed",NA,NA,NA,"Eastern and South-Eastern Asia","Eastern Asia","East Asia & Pacific","Upper middle income","Asia and the Pacific","Western Pacific"
"CIV","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"CMR","West and Central Africa","Sub-Saharan Africa","Africa","Middle Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Middle Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"COD","West and Central Africa","Sub-Saharan Africa","Africa","Middle Africa",NA,"Less Developed","Least Developed",NA,NA,"Sub-Saharan Africa","Middle Africa","Sub-Saharan Africa","Low income","East and Southern Africa","Africa"
"COG","West and Central Africa","Sub-Saharan Africa","Africa","Middle Africa",NA,"Less Developed",NA,NA,NA,"Sub-Saharan Africa","Middle Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"COK","East Asia and Pacific","East Asia and Pacific",NA,NA,NA,NA,NA,NA,NA,"Oceania (excluding Australia and New Zealand)","Polynesia",NA,NA,"Asia and the Pacific",NA
"COL","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","South America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","South America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
"COM","Eastern and Southern Africa","Sub-Saharan Africa","Africa","Eastern Africa",NA,"Less Developed","Least Developed",NA,"Small Island Developing States","Sub-Saharan Africa","Eastern Africa","Sub-Saharan Africa","Lower middle income","East and Southern Africa","Africa"
"CPV","West and Central Africa","Sub-Saharan Africa","Africa","Western Africa",NA,"Less Developed",NA,NA,"Small Island Developing States","Sub-Saharan Africa","Western Africa","Sub-Saharan Africa","Lower middle income","West and Central Africa","Africa"
"CRI","Latin America and Caribbean","Latin America and Caribbean","Latin America and the Caribbean","Central America",NA,"Less Developed",NA,NA,NA,"Latin America and the Caribbean","Central America","Latin America & Caribbean","Upper middle income","Latin American and Caribbean","Americas"
