"","TimePeriod","Value","Percentile","GeoAreaCode","Nature","Indicator","Time_Detail"
"138",1997,1106.70282879948,0.9,98101,"E","3.1.1","Calendar year"
"139",1998,775.119132163965,0.1,98101,"E","3.1.1","Calendar year"
"140",1998,906.622619481713,0.5,98101,"E","3.1.1","Calendar year"
"141",1998,1085.01038450104,0.9,98101,"E","3.1.1","Calendar year"
"142",1999,771.495537670335,0.1,98101,"E","3.1.1","Calendar year"
"143",1999,895.760746757002,0.5,98101,"E","3.1.1","Calendar year"
"144",1999,1066.10030663949,0.9,98101,"E","3.1.1","Calendar year"
"145",2000,757.404506500273,0.1,98101,"E","3.1.1","Calendar year"
"146",2000,874.608679274882,0.5,98101,"E","3.1.1","Calendar year"
"147",2000,1032.77116123599,0.9,98101,"E","3.1.1","Calendar year"
"148",2001,743.548101438348,0.1,98101,"E","3.1.1","Calendar year"
"149",2001,855.136201303054,0.5,98101,"E","3.1.1","Calendar year"
"150",2001,1005.76630562754,0.9,98101,"E","3.1.1","Calendar year"
"151",2002,735.130190507201,0.1,98101,"E","3.1.1","Calendar year"
"152",2002,842.962019995787,0.5,98101,"E","3.1.1","Calendar year"
"153",2002,987.863535451881,0.9,98101,"E","3.1.1","Calendar year"
"154",2003,709.316477197859,0.1,98101,"E","3.1.1","Calendar year"
"155",2003,810.45562053714,0.5,98101,"E","3.1.1","Calendar year"
"156",2003,948.028969716946,0.9,98101,"E","3.1.1","Calendar year"
"157",2004,684.180446959788,0.1,98101,"E","3.1.1","Calendar year"
"158",2004,775.240208495895,0.5,98101,"E","3.1.1","Calendar year"
"159",2004,904.855834995294,0.9,98101,"E","3.1.1","Calendar year"
"160",2005,654.845865830657,0.1,98101,"E","3.1.1","Calendar year"
"161",2005,741.897685404486,0.5,98101,"E","3.1.1","Calendar year"
"162",2005,864.697405930615,0.9,98101,"E","3.1.1","Calendar year"
"163",2006,632.904246499781,0.1,98101,"E","3.1.1","Calendar year"
"164",2006,715.866898883507,0.5,98101,"E","3.1.1","Calendar year"
"165",2006,834.051989890427,0.9,98101,"E","3.1.1","Calendar year"
"166",2007,610.269327397164,0.1,98101,"E","3.1.1","Calendar year"
"167",2007,690.617077951149,0.5,98101,"E","3.1.1","Calendar year"
"168",2007,806.67643942864,0.9,98101,"E","3.1.1","Calendar year"
"169",2008,598.290537834204,0.1,98101,"E","3.1.1","Calendar year"
"170",2008,677.144243182592,0.5,98101,"E","3.1.1","Calendar year"
