"","Country","Year","List","Sex","Frmat","Cause","A00","A1_4","A05","A10","A15","A20","A25","A30","A35","A40","A45","A50","A55","A60","A65","A70","A75","A80","A85ov","tot","unk","name"
"75","2340",2020,104,1,0,"covid19",0,0,0,1,0,0,0,2,1,7,10,10,15,22,19,13,11,9,7,127,0,"Nicaragua"
"76","2340",2020,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,2,2,3,3,8,3,4,6,7,0,38,0,"Nicaragua"
"77","2340",2021,104,1,0,"covid19",0,0,0,0,0,1,0,0,2,1,0,0,2,4,3,2,5,2,5,27,0,"Nicaragua"
"78","2340",2021,104,2,0,"covid19",0,0,0,0,0,1,0,1,0,0,1,0,4,1,4,3,3,2,5,25,0,"Nicaragua"
"79","2350",2021,104,1,0,"covid19",3,2,0,0,1,12,22,30,51,82,106,150,171,193,221,237,260,234,349,2126,2,"Panama"
"80","2350",2021,104,2,0,"covid19",1,0,0,0,3,2,6,13,20,43,36,74,109,129,141,180,200,163,263,1384,1,"Panama"
"81","2360",2020,104,1,0,"covid19",0,1,1,0,1,6,9,26,36,51,50,96,140,203,219,219,201,146,168,1573,0,"Paraguay"
"82","2360",2020,104,2,0,"covid19",1,2,0,0,1,9,6,7,23,20,33,59,92,114,141,128,143,107,136,1022,0,"Paraguay"
"83","2360",2021,104,1,0,"covid19",5,7,0,1,10,27,87,184,312,426,563,672,884,1128,1220,1162,885,709,666,8948,0,"Paraguay"
"84","2360",2021,104,2,0,"covid19",6,7,2,6,7,28,37,99,156,257,347,473,644,844,905,844,721,645,739,6767,0,"Paraguay"
"85","2370",2020,104,1,0,"covid19",180,70,61,65,95,255,423,756,1248,2105,3205,4762,6344,8025,8891,8340,7313,5976,6382,64496,0,"Peru"
"86","2370",2020,104,2,0,"covid19",137,70,46,52,99,173,255,391,495,754,1154,1620,2495,3440,4094,4003,3590,3094,3938,29900,0,"Peru"
"87","2380",2021,104,1,0,"covid19",0,0,0,0,0,5,9,9,21,34,44,66,73,64,81,107,86,69,104,773,1,"Puerto Rico"
"88","2380",2021,104,2,0,"covid19",0,1,2,1,1,0,3,7,7,19,21,46,47,73,79,77,78,75,147,684,0,"Puerto Rico"
"89","2450",2020,104,1,0,"covid19",23,11,10,18,59,250,513,953,1547,2521,4432,6953,10798,16199,20939,26075,27538,27181,46489,192512,3,"United States of America"
"90","2450",2020,104,2,0,"covid19",12,8,7,14,59,133,279,509,720,1291,2166,3413,5833,9260,12562,16701,19663,22648,63040,158319,1,"United States of America"
"91","2450",2021,104,1,0,"covid19",44,28,39,41,215,624,1340,2533,3958,5985,9252,14168,19357,25465,28183,31747,29683,26260,37685,236610,3,"United States of America"
"92","2450",2021,104,2,0,"covid19",47,26,24,38,136,426,759,1501,2338,3725,5450,8011,11848,17055,19966,22820,21900,20964,43249,180283,0,"United States of America"
"93","2455",2021,104,1,0,"covid19",0,0,0,0,0,0,0,1,2,1,1,1,3,1,2,4,4,2,5,27,0,"Virgin Islands (USA)"
"94","2455",2021,104,2,0,"covid19",0,0,0,0,0,0,0,0,0,1,0,3,5,8,1,3,4,3,1,29,0,"Virgin Islands (USA)"
"95","2460",2020,104,1,0,"covid19",0,0,0,0,0,0,0,0,1,1,1,2,5,13,19,13,18,18,17,108,0,"Uruguay"
