"iso_alpha_3_code","year_mid","year_start","year_end","final_pm","obs_selogpm","citation_short","include","type","definition"
"MMR",2013.014,2009.514,2016.514,0.0730238546644525,0.212090022,"DHS 2015-2016",TRUE,"dhs","pregn"
"NAM",1989.205,1985.705,1992.705,0.14472277415081,0.157858473,"DHS 1992",TRUE,"dhs","pregn"
"NAM",1997.341,1993.841,2000.841,0.0868986523411525,0.196625846,"DHS 2000",TRUE,"dhs","pregn"
"NAM",2003.495,1999.995,2006.995,0.0628421784873205,0.146132619,"DHS 2006-2007",TRUE,"dhs","pregn"
"NAM",2010.073,2006.573,2013.573,0.0899557654938119,0.181659422,"DHS 2013",TRUE,"dhs","pregn"
"NPL",1992.746,1989.246,1996.246,0.257058046174583,0.118074025,"DHS 1996",TRUE,"dhs","pregn"
"NPL",2002.863,1999.363,2006.363,0.162789411738826,0.175155367,"DHS 2006",TRUE,"dhs","pregn"
"NPL",2013.582,2010.082,2017.082,0.115802039470786,0.198103344,"DHS 2016",TRUE,"dhs","pregn"
"NER",1988.832,1985.332,1992.332,0.319556588197591,0.096356721,"DHS 1992",TRUE,"dhs","pregn"
"NER",2002.703,1999.203,2006.203,0.404410118557408,0.071190198,"DHS 2006",TRUE,"dhs","pregn"
"NER",2008.794,2005.294,2012.294,0.375149112772165,0.076521374,"DHS 2012",TRUE,"dhs","pregn"
"NGA",2005.121,2001.621,2008.621,0.219647359728915,0.055898972,"DHS 2008",TRUE,"dhs","pregn"
"NGA",2009.788,2006.288,2013.288,0.299898136198992,0.054833942,"DHS 2013",TRUE,"dhs","pregn"
"NGA",2015.083333,2011.583333,2018.583333,0.318363270547034,0.054333331,"DHS 2018",TRUE,"dhs","pregn"
"PAK",2005.206,2003.706,2006.706,0.165566557,NA,"DHS 2006-2007",TRUE,"dhs","pregn"
"PNG",2013.25,2009.75,2016.75,0.113567910682206,0.203684306,"DHS 2016-2018",TRUE,"dhs","pregn"
"PRY",1992.49,1988.99,1995.99,0.19868283,NA,"RHS 1995",TRUE,"dhs","pregn"
"PER",1993.257,1989.757,1996.757,0.175985351417876,0.105240204,"DHS 1996",TRUE,"dhs","pregn"
"PER",1997.217,1993.717,2000.717,0.133579821496705,0.14241772,"DHS 2000",TRUE,"dhs","pregn"
"PER",2005.948,2002.448,2009.448,0.075211232,NA,"DHS 2009",TRUE,"dhs","pregn"
"PER",2006.953,2003.453,2010.453,0.025068847,NA,"DHS 2010",TRUE,"dhs","pregn"
