"iso_alpha_3_code","year_start","year_end","allcause_1549_vr","allcause_1549_wpp","completeness","usability","ratio_vr/wpp"
"PAN",2002,2003,773,958,0.806889352818372,0.741344195519348,0.806889352818372
"PAN",2003,2004,808,965,0.837305699481865,0.736580516898608,0.837305699481865
"PAN",2004,2005,789,974,0.81006160164271,0.774294670846395,0.81006160164271
"PAN",2005,2006,811,986,0.822515212981744,0.813977389516958,0.822515212981744
"PAN",2006,2007,837,995,0.841206030150754,0.75250501002004,0.841206030150754
"PAN",2007,2008,852,998,0.853707414829659,0.825,0.853707414829659
"PAN",2008,2009,873,1011,0.863501483679525,0.84516765285996,0.863501483679525
"PAN",2009,2010,896,1023,0.875855327468231,0.841439688715953,0.875855327468231
"PAN",2010,2011,895,1032,0.867248062015504,0.841740850642928,0.867248062015504
"PAN",2011,2012,927,1034,0.896518375241779,0.861538461538462,0.896518375241779
"PAN",2012,2013,958,1041,0.920268972142171,0.875234521575985,0.920268972142171
"PAN",2013,2014,942,1052,0.895437262357414,0.882579403272377,0.895437262357414
"PAN",2014,2015,922,1013,0.910167818361303,0.876482213438735,0.910167818361303
"PAN",2015,2016,944,1037,0.910318225650916,0.86969111969112,0.910318225650916
"PAN",2016,2017,949,1036,0.916023166023166,0.879227053140097,0.916023166023166
"PAN",2017,2018,981,1066,0.920262664165103,0.87593984962406,0.920262664165103
"PAN",2018,2019,954,1029,0.927113702623907,0.886627906976744,0.927113702623907
"PAN",2019,2020,950,1017,0.934119960668633,0.879529872673849,0.934119960668633
"PAN",2021,2022,1085,1155,0.939393939393939,0.925693822739481,0.939393939393939
"PAN",2022,2023,1046,1002,1,0.95179584120983,1.0439121756487
"PRY",1994,1995,1057,1911,0.553113553113553,0.520742358078603,0.553113553113553
"PRY",1995,1996,1098,1928,0.569502074688797,0.514929282346778,0.569502074688797
"PRY",1996,1997,1180,1944,0.606995884773663,0.535471331389699,0.606995884773663
"PRY",1997,1998,1126,1977,0.569549822964087,0.518289541473467,0.569549822964087
"PRY",1998,1999,1135,2004,0.566367265469062,0.518980759230369,0.566367265469062
"PRY",1999,2000,1192,2029,0.587481517989157,0.521588089330025,0.587481517989157
"PRY",2000,2001,1270,2051,0.619210141394442,0.53688719657306,0.619210141394442
"PRY",2001,2002,1267,2068,0.612669245647969,0.56139489194499,0.612669245647969
"PRY",2002,2003,1316,2074,0.634522661523626,0.566402378592666,0.634522661523626
"PRY",2003,2004,1360,2074,0.655737704918033,0.581384015594542,0.655737704918033
"PRY",2004,2005,1531,2078,0.736766121270452,0.621090259159964,0.736766121270452
"PRY",2005,2006,1399,2079,0.672919672919673,0.634881422924901,0.672919672919673
"PRY",2006,2007,1495,2079,0.719095719095719,0.646672914714152,0.719095719095719
"PRY",2007,2008,1391,2073,0.67100820067535,0.649265078560568,0.67100820067535
"PRY",2008,2009,1449,2066,0.70135527589545,0.654509610645638,0.70135527589545
"PRY",2009,2010,1560,2051,0.76060458313018,0.673563218390805,0.76060458313018
"PRY",2010,2011,1464,2037,0.718703976435935,0.688532799198798,0.718703976435935
"PRY",2011,2012,1495,2036,0.734282907662082,0.716760061130922,0.734282907662082
"PRY",2012,2013,1452,1933,0.751163993792033,0.732371794871795,0.751163993792033
"PRY",2013,2014,1574,1852,0.849892008639309,0.74759736975215,0.849892008639309
"PRY",2014,2015,1491,1782,0.836700336700337,0.789031897034135,0.836700336700337
"PRY",2015,2016,1478,1808,0.817477876106195,0.821902017291066,0.817477876106195
"PRY",2016,2017,1685,1832,0.919759825327511,0.815058110156645,0.919759825327511
"PRY",2017,2018,1557,1867,0.833958221746117,0.831765356945213,0.833958221746117
"PRY",2018,2019,1598,1885,0.847745358090186,0.844141689373297,0.847745358090186
"PRY",2019,2020,1701,1917,0.887323943661972,0.845128205128205,0.887323943661972
"PRY",2020,2021,1834,2119,0.865502595563945,0.854126679462572,0.865502595563945
"PRY",2021,2022,3033,3362,0.902141582391434,0.86036299765808,0.902141582391434
"PER",1986,1987,7098,10694,0.6637366747709,0.412600582092108,0.6637366747709
"PER",1987,1988,6495,10874,0.597296303108332,0.392843761708505,0.597296303108332
"PER",1988,1989,6195,11001,0.563130624488683,0.408441374089145,0.563130624488683
"PER",1989,1990,6755,11064,0.610538684020246,0.389908256880734,0.610538684020246
"PER",1990,1991,5587,11177,0.499865795830724,0.378966718266254,0.499865795830724
"PER",1991,1992,5362,11797,0.454522336187166,0.35452005587707,0.454522336187166
"PER",1992,1993,6618,11423,0.579357436750416,0.379563220243372,0.579357436750416
"PER",1994,1995,6821,11333,0.601870643254213,0.415564552406658,0.601870643254213
"PER",1995,1996,7093,11312,0.62703323903819,0.483939100589633,0.62703323903819
"PER",1996,1997,7289,11270,0.646761313220941,0.497742952048377,0.646761313220941
"PER",1997,1998,7034,11324,0.621158601200989,0.485969726476056,0.621158601200989
"PER",1998,1999,6914,11383,0.607396995519635,0.505794921702203,0.607396995519635
"PER",1999,2000,6772,11087,0.610805447821773,0.511603650586701,0.610805447821773
"PER",2000,2001,6411,11207,0.57205318104756,0.512340728860376,0.57205318104756
"PER",2001,2002,6087,11436,0.532266526757608,0.548464668886422,0.532266526757608
"PER",2002,2003,6229,11630,0.535597592433362,0.534316756470277,0.535597592433362
"PER",2003,2004,6570,11605,0.566135286514433,0.527743322583313,0.566135286514433
"PER",2004,2005,6609,12112,0.545657199471598,0.522905389028036,0.545657199471598
"PER",2005,2006,6551,12205,0.536747234739861,0.526311561018719,0.536747234739861
"PER",2006,2007,5973,12250,0.487591836734694,0.51551063088184,0.487591836734694
"PER",2007,2008,5978,12026,0.49708963911525,0.51172818213177,0.49708963911525
"PER",2008,2009,6384,11923,0.535435712488468,0.509538758753924,0.535435712488468
"PER",2009,2010,6351,12191,0.520958083832335,0.519035116508041,0.520958083832335
"PER",2010,2011,6390,12083,0.528842174956551,0.523766298068988,0.528842174956551
"PER",2011,2012,6190,11831,0.523201758093145,0.523578067707001,0.523201758093145
"PER",2012,2013,5970,11304,0.528131634819533,0.526549458355532,0.528131634819533
"PER",2013,2014,5782,10721,0.539315362372913,0.530860780514808,0.539315362372913
"PER",2014,2015,5516,10370,0.531918997107039,0.533301017935046,0.531918997107039
"PER",2015,2016,5620,10288,0.546267496111975,0.548732560424445,0.546267496111975
"PER",2016,2017,5531,10463,0.52862467743477,0.551154438173422,0.52862467743477
"PER",2017,2018,6531,10644,0.61358511837655,0.564423862707709,0.61358511837655
"PER",2018,2019,6914,11294,0.612183460244378,0.663047730829421,0.612183460244378
"PER",2019,2020,7242,11000,0.658363636363636,0.696600510905875,0.658363636363636
"PER",2020,2021,10397,10748,0.96734276144399,0.731398756343364,0.96734276144399
"PRI",1985,1986,819,1172,0.698805460750853,0.781940441882805,0.698805460750853
"PRI",1986,1987,895,1093,0.818847209515096,0.818014705882353,0.818847209515096
"PRI",1987,1988,931,1100,0.846363636363636,0.81195079086116,0.846363636363636
"PRI",1988,1989,1073,1158,0.926597582037997,0.850437549721559,0.926597582037997
"PRI",1989,1990,1057,1316,0.803191489361702,0.896258503401361,0.803191489361702
"PRI",1990,1991,1100,1259,0.873709293089754,0.931856899488927,0.873709293089754
