"iso3","whoname","sex","year","age","pop","nLx","lx","deaths","crisis_deaths"
"LKA","Sri Lanka",2,2004,55,464733,421735.866637941,85799.7300668866,3201.29780047314,830.297800473145
"LKA","Sri Lanka",2,2004,60,345406,403723.17209739,82894.6165882899,3678.84130674336,740.841306743363
"LKA","Sri Lanka",2,2004,65,256385,375691.682284643,78594.652250666,4717.4189185588,624.418918558798
"LKA","Sri Lanka",2,2004,70,189268,329788.331141472,71682.0206631911,6570.5000018285,581.500001828504
"LKA","Sri Lanka",2,2004,75,133893,269693.098999796,60233.3117933977,6250.17991341415,490.179913414155
"LKA","Sri Lanka",2,2004,80,77562,196011.819981596,47643.9278065206,6680.6641794185,357.6641794185
"LKA","Sri Lanka",2,2004,85,43483,157006.885385969,30760.8001861178,7975.20179594917,252.201795949169
"LKA","Sri Lanka",2,2005,0,181492,99043.9244540138,1e+05,1946.61177910795,2.80719788703001
"LKA","Sri Lanka",2,2005,1,675670,395288.258022499,98937.6938377931,329.410538936347,8.24213575308305
"LKA","Sri Lanka",2,2005,5,796109,493282.964151857,98744.978284179,285.29043311421,4.86327956485236
"LKA","Sri Lanka",2,2005,10,806445,492404.20599233,98568.2073765637,286.171469043306,4.62545977148256
"LKA","Sri Lanka",2,2005,15,836122,490146.584057475,98393.4750203684,1242.40665883707,6.40665883707092
"LKA","Sri Lanka",2,2005,20,889505,486581.565489613,97665.1586026216,1275.42777065598,6.42777065597733
"LKA","Sri Lanka",2,2005,25,836681,483000.560539837,96967.4675932234,1272.70806649148,4.70806649148136
"LKA","Sri Lanka",2,2005,30,732796,479206.374534573,96232.7566227114,1197.29724249911,4.29724249911039
"LKA","Sri Lanka",2,2005,35,719282,474938.176932994,95449.7931911176,1399.8528907347,3.85289073470266
"LKA","Sri Lanka",2,2005,40,680223,469946.123461011,94525.4775820798,1552.3973123763,3.39731237629589
"LKA","Sri Lanka",2,2005,45,641290,463659.958974428,93452.9718023244,1994.38083889405,3.38083889405295
"LKA","Sri Lanka",2,2005,50,537389,454796.963290573,92011.0117874466,2485.190526356,3.19052635599984
"LKA","Sri Lanka",2,2005,55,482218,442991.09210793,89907.7735287826,2851.03269990043,3.03269990042882
"LKA","Sri Lanka",2,2005,60,364498,426455.927862906,87288.6633143893,3414.54576833858,2.54576833857914
"LKA","Sri Lanka",2,2005,65,266825,399744.520550689,83293.707830773,4465.23820528681,2.2382052868114
"LKA","Sri Lanka",2,2005,70,194752,354603.870200293,76604.1003895025,6242.67959953002,1.67959953001834
"LKA","Sri Lanka",2,2005,75,138691,292825.998687437,65237.4476906149,6320.34549538033,1.34549538032463
"LKA","Sri Lanka",2,2005,80,82154,216639.82497919,51892.95178436,6496.01636902943,1.01636902942795
"LKA","Sri Lanka",2,2005,85,44369,173933.125498708,34762.9782073158,8338.72253539387,0.722535393871509
"LKA","Sri Lanka",2,2006,0,182155,99083.4134961321,1e+05,1872.28123951212,38.0649352941208
"LKA","Sri Lanka",2,2006,1,693468,395496.50636,98981.5705512578,313.989073343172,112.803014120539
"LKA","Sri Lanka",2,2006,5,802538,493581.244114885,98802.497282495,280.471217372629,65.3429145388648
"LKA","Sri Lanka",2,2006,10,803893,492716.135972909,98630.0003634591,283.150227709159,61.3005690180866
"LKA","Sri Lanka",2,2006,15,823445,491509.940098848,98456.4540257043,517.56536289506,84.56536289506
"LKA","Sri Lanka",2,2006,20,875270,489906.34039902,98147.5220138349,594.060818730143,85.0608187301426
"LKA","Sri Lanka",2,2006,25,850508,488236.165540092,97815.0141457731,584.549547659074,63.5495476590741
"LKA","Sri Lanka",2,2006,30,743688,486432.963392339,97479.4520702638,589.71009845096,57.7100984509599
"LKA","Sri Lanka",2,2006,35,714508,484191.523138365,97093.7332866719,753.857973807512,50.8579738075115
"LKA","Sri Lanka",2,2006,40,683393,481195.851692111,96582.8759686742,976.259545666823,44.2595456668237
"LKA","Sri Lanka",2,2006,45,651109,476807.839759877,95895.4647081701,1458.13451055775,45.1345105577451
"LKA","Sri Lanka",2,2006,50,554574,470039.895559887,94827.6711957807,1934.21844391164,43.2184439116395
"LKA","Sri Lanka",2,2006,55,498042,459922.689875847,93188.2870281741,2607.03635221136,41.0363522113635
"LKA","Sri Lanka",2,2006,60,383580,444951.235103597,90780.7889221647,3087.15206688426,35.1520668842634
"LKA","Sri Lanka",2,2006,65,271463,419643.238535362,87199.7051192741,4232.02843152051,30.0284315205096
"LKA","Sri Lanka",2,2006,70,197984,373900.875354803,80657.5902948708,6224.29233195255,22.2923319525511
"LKA","Sri Lanka",2,2006,75,143199,310800.272084302,68902.7598470505,6213.30649695125,18.3064969512458
"LKA","Sri Lanka",2,2006,80,85999,230759.684061085,55417.3489866701,6906.02593631451,14.0259363145085
"LKA","Sri Lanka",2,2006,85,48862,191647.787374399,36886.5246377638,8766.95940225063,10.6297332707132
"LKA","Sri Lanka",2,2007,0,181027,99118.7235275989,1e+05,1788.36977057603,36.0652769935079
"LKA","Sri Lanka",2,2007,1,703368,395675.705890394,99020.8039195543,301.83529526663,108.450285922765
"LKA","Sri Lanka",2,2007,5,813591,493826.589921306,98851.0081746281,282.353235300314,63.2852835951308
"LKA","Sri Lanka",2,2007,10,801848,492962.731506617,98679.6277938943,283.291681874715,58.2862723955753
"LKA","Sri Lanka",2,2007,15,816835,491734.223906604,98505.4648087524,526.977313385668,79.9773133856676
"LKA","Sri Lanka",2,2007,20,856975,490071.69742446,98188.2247538893,608.136846841203,80.1368468412028
"LKA","Sri Lanka",2,2007,25,858618,488252.186222516,97840.4542158948,668.310338575645,61.3103385756453
"LKA","Sri Lanka",2,2007,30,762190,486345.867115729,97460.4202731116,599.435284358063,56.4352843580627
"LKA","Sri Lanka",2,2007,35,707870,484135.579551424,97077.9265731799,733.436464670153,48.4364646701524
"LKA","Sri Lanka",2,2007,40,686613,481371.875822281,96576.3052473896,861.326265391143,42.3262653911428
"LKA","Sri Lanka",2,2007,45,656461,477404.876090611,95972.4450815227,1351.60244126432,43.6024412643218
"LKA","Sri Lanka",2,2007,50,575145,470972.365457039,94989.5053547216,1941.76501476853,42.7650147685336
"LKA","Sri Lanka",2,2007,55,509184,461068.286280072,93399.440828094,2619.05683098321,40.0568309832058
"LKA","Sri Lanka",2,2007,60,408256,446207.439397307,91027.8736839348,3268.89539975476,35.8953997547601
"LKA","Sri Lanka",2,2007,65,279167,421262.661136066,87455.1020749879,4244.62882270465,29.6288227046525
"LKA","Sri Lanka",2,2007,70,199411,377103.329961161,81049.9623794386,5953.50681196504,21.5068119650401
"LKA","Sri Lanka",2,2007,75,147174,315284.802839261,69791.3696050256,6287.20386591077,18.2038659107706
"LKA","Sri Lanka",2,2007,80,90534,234184.614848619,56322.5515306788,7334.14444576233,14.1444457623282
"LKA","Sri Lanka",2,2007,85,52722,198418.223839284,37351.2944087689,9200.3994783372,11.3994783372055
"LKA","Sri Lanka",2,2008,0,178650,99145.1633902218,1e+05,1711.48103688243,104.710989125992
"LKA","Sri Lanka",2,2008,1,707428,395811.211217296,99050.1815446909,290.072832653446,239.562126074236
"LKA","Sri Lanka",2,2008,5,828815,493688.059614808,98887.8836440794,504.559322886849,188.760412782886
"LKA","Sri Lanka",2,2008,10,799806,491920.688304765,98587.3402018437,660.767539497569,169.195291192535
"LKA","Sri Lanka",2,2008,15,815008,489786.581737992,98180.9351200625,744.206131011972,234.655080661364
"LKA","Sri Lanka",2,2008,20,838353,487427.469071656,97733.6975751343,853.798280498669,232.00608149001
"LKA","Sri Lanka",2,2008,25,858952,485085.093011422,97237.290053528,780.080057352685,179.711661358616
"LKA","Sri Lanka",2,2008,30,785287,482792.784080221,96796.7471510407,774.857370558174,170.732996014667
"LKA","Sri Lanka",2,2008,35,702526,480178.739038673,96320.3664810476,832.823287795886,141.474715379973
"LKA","Sri Lanka",2,2008,40,688323,476929.06730171,95751.1291344215,1054.47622285665,123.301803718305
